id,Entidad,Municipio,Aborto,Abuso_de_confianza,Abuso_sexual,Acoso_sexual,Allanamiento_de_morada,Amenazas,Contra_el_medio_ambiente,Corrupcion_de_menores,Dano_a_la_propiedad,por_servidores_publicos,Despojo,Electorales,Evasion_de_presos,Extorsion,Falsedad,Falsificacion,Feminicidio,Fraude,Homicidio,Hostigamiento_sexual,Incesto,Incump_obligaciones_asistencia_fam,Lesiones,Narcomenudeo,contra_el_patrimonio,Otros_contra_la_familia,Otros_contra_la_sociedad,Otros_Fuero_Comun,libertad_personal,libertad_seguridad_sexual,vida_integridad_corporal,Rapto,Robo,Secuestro,Trafico_de_menores,Trata_de_personas,Violacion_equiparada,Violacion_simple,Violencia_de_genero,Violencia_familiar,XCOORD,YCOORD
01414092,Jalisco,Teocuitatlan de Corona,0,0.135416667,0.135416667,0.052083333,0.041666667,0.5,0,0,0.583333333,0.010416667,0.333333333,0.020833333,0,0.010416667,0.010416667,0.020833333,0,0.1875,0.03125,0.010416667,0,0,0.075231481,0.020833333,0,0.03125,0,0.177083333,0,0.010416667,0,0,0.031828704,0,0,0,0,0.020833333,0,0.125,-103.3471403,20.10871205
01414093,Jalisco,Tepatitlan de Morelos,0.010416667,1.708333333,2.489583333,0.15625,0.9375,8.416666667,0.020833333,0.145833333,18.15625,0.802083333,1.583333333,0.010416667,0,1.5625,0.15625,3.21875,0.0078125,8.197916667,0.321759259,0.052083333,0,0,2.18287037,2,0,2.0625,0,7.395833333,0.854166667,0.520833333,0,0,1.383101852,0,0,0,0,0.427083333,0,12.42708333,-102.7208342,20.81476712
01414094,Jalisco,Tequila,0,0.28125,0.885416667,0.104166667,0.270833333,3.854166667,0.0625,0.010416667,3.104166667,0.354166667,1.1875,0,0,0.520833333,0.197916667,0.53125,0.015625,2.708333333,0.131944444,0,0,0,0.484953704,0.333333333,0,0.5,0,2.34375,0.25,0.0625,0,0,0.304108796,0.002083333,0.020833333,0,0.010416667,0.083333333,0,3.625,-103.7810357,21.11230645
01414095,Jalisco,Teuchitlan,0,0.072916667,0.083333333,0.03125,0.010416667,0.375,0.010416667,0.010416667,0.552083333,0.041666667,0.145833333,0,0,0.03125,0,0.145833333,0,0.21875,0.02662037,0,0,0,0.056712963,0.083333333,0,0.03125,0,0.239583333,0.041666667,0.010416667,0,0,0.048321759,0,0,0,0,0.020833333,0,0.46875,-103.8324041,20.67924403
01414096,Jalisco,Tizapan el Alto,0,0.135416667,0.302083333,0.041666667,0.041666667,1.416666667,0,0.020833333,1.427083333,0.020833333,0.354166667,0,0,0.03125,0,0.416666667,0.0078125,0.375,0.039351852,0,0,0,0.260416667,0.166666667,0,0.083333333,0,0.447916667,0.041666667,0.052083333,0,0,0.066550926,0,0,0,0,0.052083333,0,0.614583333,-103.0710833,20.1196221
01414097,Jalisco,Tlajomulco de Zuniga,0.083333333,9.28125,18.63541667,1.375,2.21875,66.76041667,0.572916667,1.072916667,45.77083333,3.520833333,12.90625,0.09375,0.010416667,3.65625,0.4375,3.40625,0.140625,26.78125,2.209490741,0.364583333,0.020833333,0,8.833333333,16.03125,0,6.583333333,0.010416667,60.80208333,5.03125,3.229166667,0,0,10.53501157,0.020833333,0,0.020833333,0.052083333,3.25,0,91.14583333,-103.4259166,20.48418747
01414098,Jalisco,San Pedro Tlaquepaque,0.0625,10.03125,15.375,1.520833333,2.270833333,80.92708333,0.354166667,1.166666667,45.8125,4.635416667,11.97916667,0.072916667,0,3.21875,0.395833333,3.25,0.091145833,40.0625,2.5,0.302083333,0,0,8.756944444,23.82291667,0,7.1875,0.020833333,75.75,5.208333333,3.572916667,0,0,13.41174769,0.022916667,0,0.03125,0.041666667,2.895833333,0,83.08333333,-103.3489164,20.59091546
01414099,Jalisco,Toliman,0,0.010416667,0.083333333,0,0.03125,0.125,0,0.010416667,0.239583333,0.010416667,0.322916667,0,0,0.020833333,0,0.083333333,0,0.072916667,0.019675926,0,0,0,0.023148148,0,0,0.03125,0,0.145833333,0,0.010416667,0,0,0.013020833,0,0,0,0,0.020833333,0,0.177083333,-103.9305827,19.55288915
01414100,Jalisco,Tomatlan,0,0.28125,0.864583333,0.010416667,0.166666667,2.197916667,0.010416667,0.03125,1.53125,0.052083333,0.760416667,0,0,0.104166667,0,0.229166667,0.005208333,0.833333333,0.125,0.020833333,0,0,0.270833333,0.104166667,0,0.260416667,0,0.885416667,0.177083333,0.104166667,0,0,0.090277778,0,0,0,0,0.020833333,0,2,-105.1647266,19.9795245
01414101,Jalisco,Tonala,0.083333333,5.71875,14,1.375,1.53125,59.15625,0.21875,0.791666667,26.05208333,4.114583333,10.66666667,0.125,0.125,2.072916667,0.375,2.604166667,0.0625,23.90625,1.497685185,0.333333333,0.010416667,0,6.978009259,13.10416667,0,5.666666667,0,55.16666667,4.072916667,2.645833333,0,0,9.773148148,0.010416667,0.010416667,0,0.020833333,2.3125,0,75.26041667,-103.2138913,20.61675158
01414102,Jalisco,Tonaya,0,0.020833333,0.020833333,0,0.041666667,0.125,0,0,0.3125,0.020833333,0.09375,0,0,0.010416667,0,0.052083333,0,0.0625,0.013888889,0,0,0,0.027777778,0,0,0.072916667,0,0.0625,0.020833333,0,0,0,0.008680556,0,0,0,0,0.010416667,0,0.125,-103.9502021,19.84786988
01414103,Jalisco,Tonila,0,0.020833333,0.041666667,0,0.010416667,0.072916667,0,0,0.510416667,0.041666667,0.0625,0,0,0,0,0.072916667,0,0.0625,0.016203704,0,0,0,0.008101852,0.03125,0,0.010416667,0,0.1875,0.010416667,0,0,0,0.019097222,0,0,0,0,0,0,0.072916667,-103.5350716,19.43209163
01414104,Jalisco,Totatiche,0,0.010416667,0.09375,0.010416667,0.010416667,0.135416667,0,0.020833333,0.114583333,0.020833333,0.0625,0,0,0.03125,0,0,0.002604167,0.052083333,0.009259259,0.010416667,0,0,0.033564815,0.0625,0,0.0625,0,0.09375,0.020833333,0.010416667,0,0,0.01244213,0.002083333,0,0,0,0,0,0.229166667,-103.4786001,21.95887057
01414105,Jalisco,Tototlan,0.010416667,0.125,0.354166667,0.010416667,0.03125,0.677083333,0.010416667,0.020833333,1.3125,0.125,0.260416667,0,0,0.135416667,0,0.125,0,0.333333333,0.081018519,0.03125,0,0,0.229166667,0.166666667,0,0.0625,0,0.395833333,0.03125,0.041666667,0,0,0.100115741,0,0,0,0,0.041666667,0,1.010416667,-102.7487122,20.54872102
01414106,Jalisco,Tuxcacuesco,0,0,0.114583333,0,0.010416667,0.072916667,0,0,0.270833333,0,0.239583333,0,0,0.010416667,0.010416667,0.010416667,0,0.083333333,0.006944444,0,0,0,0.008101852,0.010416667,0,0.03125,0,0.083333333,0.020833333,0,0,0,0.0078125,0,0,0,0.010416667,0.010416667,0,0.125,-104.0331681,19.6812169
01414107,Jalisco,Tuxcueca,0,0.03125,0.125,0,0.020833333,0.322916667,0.010416667,0.010416667,0.854166667,0.03125,0.260416667,0,0,0.020833333,0,0.072916667,0,0.09375,0.046296296,0,0,0,0.05787037,0.041666667,0,0.020833333,0,0.15625,0.03125,0,0,0,0.031539352,0.002083333,0,0,0,0.020833333,0,0.229166667,-103.2420058,20.14689405
01414108,Jalisco,Tuxpan,0.010416667,0.270833333,0.677083333,0,0.0625,0.90625,0.020833333,0,1.427083333,0.114583333,0.46875,0.010416667,0,0.15625,0.010416667,0.677083333,0.002604167,1.239583333,0.092592593,0,0,0,0.212962963,0.041666667,0,0.604166667,0,0.958333333,0.041666667,0.010416667,0,0,0.122974537,0,0,0,0,0.03125,0,1.28125,-103.4572426,19.47895696
01414109,Jalisco,Union de San Antonio,0.010416667,0.0625,0.197916667,0.020833333,0.020833333,0.25,0.020833333,0,0.65625,0.104166667,0.1875,0,0,0.010416667,0,0.177083333,0.002604167,0.322916667,0.063657407,0,0,0,0.075231481,0.083333333,0,0.020833333,0,0.385416667,0.052083333,0,0,0,0.053240741,0,0,0,0,0.020833333,0,0.4375,-101.9971828,21.15468457
01414110,Jalisco,Union de Tula,0.010416667,0.083333333,0.239583333,0.03125,0.125,0.739583333,0.010416667,0.020833333,1.791666667,0.041666667,0.40625,0.010416667,0,0.114583333,0.03125,0.291666667,0,0.739583333,0.040509259,0,0,0,0.123842593,0.083333333,0,0.5,0,0.375,0,0.072916667,0,0,0.065972222,0,0,0,0,0.03125,0,0.854166667,-104.2557371,19.99284341
01414111,Jalisco,Valle de Guadalupe,0,0.052083333,0.072916667,0,0.010416667,0.270833333,0,0,0.697916667,0,0.083333333,0,0,0.09375,0,0.145833333,0,0.21875,0.030092593,0,0,0,0.079861111,0.083333333,0,0.020833333,0,0.229166667,0.052083333,0.020833333,0,0,0.046585648,0,0,0,0,0.010416667,0,0.375,-102.6509525,21.04651307
01414112,Jalisco,Valle de Juarez,0,0.072916667,0.052083333,0.010416667,0.010416667,0.25,0,0,0.864583333,0.03125,0.166666667,0,0,0.03125,0,0.041666667,0,0.239583333,0.021990741,0,0,0,0.040509259,0,0,0.072916667,0,0.177083333,0.020833333,0.020833333,0,0,0.014467593,0,0,0,0,0.020833333,0,0.104166667,-102.9726395,19.83505875
01414113,Jalisco,San Gabriel,0,0.052083333,0.197916667,0.010416667,0.052083333,0.375,0,0,1.020833333,0.052083333,0.395833333,0.010416667,0.010416667,0.0625,0.03125,0.270833333,0.002604167,0.21875,0.039351852,0,0,0,0.0625,0.072916667,0,0.104166667,0,0.395833333,0.010416667,0.020833333,0,0,0.039930556,0,0,0.010416667,0,0.041666667,0,0.34375,-103.7388684,19.70990314
01414114,Jalisco,Villa Corona,0,0.15625,0.34375,0.010416667,0.104166667,1.166666667,0.03125,0.010416667,1.46875,0.135416667,0.416666667,0,0,0.135416667,0,0.270833333,0.002604167,0.5625,0.030092593,0,0,0,0.201388889,0.302083333,0,0.114583333,0,0.458333333,0.072916667,0,0,0,0.145833333,0.002083333,0,0,0,0.010416667,0,1.25,-103.7088487,20.38960696
